,name,params,length,output_type_mat,parse_time,states,trans,precomp_time_mat,prob,sample_time,output_type_add,parsetime,vars_per_state,add_size,precomp_time_add,trace_time,setup_time,sample_time_sim
127,brp,N_64_MAX_3,96,ok,49.20369,3526,4611,,1.3116456021665466e-07,20.180658,ok,143.133748,34,1443,38313.66947,43.158333,,
128,brp,N_64_MAX_3,127,ok,49.960729,3526,4611,,3.7127634195846924e-08,27.293746,,,,,,,,
129,brp,N_64_MAX_3,128,ok,50.394212,3526,4611,731.003517,2.4718842989872975e-07,29.159733,ok,145.220839,34,1440,198649.973714,58.877141,30.549859,787389549.7849115
130,brp,N_64_MAX_4,8,numeric,,4359,,,,,ok,148.70456,35,1886,1215.388568,,34.504687,
131,brp,N_64_MAX_4,12,,,4359,,,,,ok,148.4607,35,1879,1238.048239,4.289608,,
132,brp,N_64_MAX_4,15,numeric,,4359,,,,,,,,,,,,
133,brp,N_64_MAX_4,16,ok,60.006443,4359,5763,330.608595,7.84e-09,3.593353,segfault,,,,,,33.285804,3288423376.275511
134,brp,N_64_MAX_4,24,,,4359,,,,,ok,150.44719,35,1870,5680.845295,9.890444,,
135,brp,N_64_MAX_4,31,ok,62.090037,4359,5763,,2.9260027812224567e-09,6.581193,,,,,,,,
136,brp,N_64_MAX_4,32,ok,69.202305,4359,5763,366.29162,3.9997067531878195e-09,6.908903,ok,150.400836,35,1877,19074.656993,13.664587,32.791258,13271786672.283396
137,brp,N_64_MAX_4,48,ok,66.348407,4359,5763,,7.605363209558781e-09,10.197178,ok,150.234185,35,1870,19670.860235,21.312056,,
138,brp,N_64_MAX_4,63,ok,62.940581,4359,5763,,4.1157729513000677e-10,13.011804,,,,,,,,
139,brp,N_64_MAX_4,64,ok,63.023757,4359,5763,570.821559,7.920664248495972e-09,15.418517,ok,146.684846,35,1873,52781.353745,29.690905,33.276462,12470550523.430666
140,brp,N_64_MAX_4,96,ok,79.160665,4359,5763,,7.428557947530385e-09,20.404687,ok,147.958896,35,1870,105901.833038,44.008683,,
141,brp,N_64_MAX_4,127,ok,66.101926,4359,5763,,1.9466067259485247e-09,27.45233,,,,,,,,
142,brp,N_64_MAX_4,128,ok,62.847281,4359,5763,1482.322089,5.366776302680323e-09,28.944478,ok,149.31875,35,1865,256807.276112,60.360361,33.606374,36302485911.83083
143,brp,N_64_MAX_5,8,numeric,,5192,,,,,segfault,,,,,,41.377886,
144,brp,N_64_MAX_5,12,,,5192,,,,,segfault,,,,,,,
145,brp,N_64_MAX_5,15,numeric,,5192,,,,,,,,,,,,
146,brp,N_64_MAX_5,16,numeric,,5192,,,,,segfault,,,,,,36.727759,
147,brp,N_64_MAX_5,24,,,5192,,,,,segfault,,,,,,,
148,brp,N_64_MAX_5,31,ok,93.72821,5192,6915,,1.2534201133977604e-12,6.507347,,,,,,,,
149,brp,N_64_MAX_5,32,ok,76.114964,5192,6915,458.515339,2.3724471484353017e-10,7.110057,segfault,,,,,,36.07994,207771561160.00302
150,brp,N_64_MAX_5,48,ok,72.907404,5192,6915,,2.3155572147302078e-10,9.94493,segfault,,,,,,,
151,brp,N_64_MAX_5,63,ok,77.240092,5192,6915,,5.085004933257545e-11,14.041565,,,,,,,,
152,brp,N_64_MAX_5,64,ok,80.902856,5192,6915,838.744362,1.6674280947617704e-10,15.32727,segfault,,,,,,36.025687,636270997971.6267
153,brp,N_64_MAX_5,96,ok,75.423178,5192,6915,,2.2265421797624e-10,20.646353,segfault,,,,,,,
154,brp,N_64_MAX_5,127,ok,74.361518,5192,6915,,9.367116482984302e-12,28.050969,,,,,,,,
155,brp,N_64_MAX_5,128,ok,91.29486,5192,6915,2489.333988,2.2581033969938166e-10,29.221644,segfault,,,,,,36.51238,878118008386.9429
156,crowds,TotalRuns_3_CrowdSize_10,8,numeric,,6563,,,,,ok,807.484367,57,3142,6500.950609,,59.862083,
157,crowds,TotalRuns_3_CrowdSize_10,12,,,6563,,,,,ok,760.039601,57,3142,6457.724383,12.784433,,
158,crowds,TotalRuns_3_CrowdSize_10,15,ok,185.150713,6563,15143,,0.00948538864,3.113284,,,,,,,,
159,crowds,TotalRuns_3_CrowdSize_10,16,ok,145.622814,6563,15143,526.989268,0.00948538864,3.571474,ok,758.489002,57,3140,13203.166111,15.931863,60.018325,203.48116736311184
160,crowds,TotalRuns_3_CrowdSize_10,24,,,6563,,,,,ok,788.83067,57,3139,13694.898693,30.312252,,
161,crowds,TotalRuns_3_CrowdSize_10,31,ok,147.7233,6563,15143,,0.0268865938850764,6.57154,,,,,,,,
162,crowds,TotalRuns_3_CrowdSize_10,32,ok,149.045498,6563,15143,591.335303,0.0276312105042918,7.40001,ok,748.258665,57,3142,55633.391686,66.370126,60.566279,4.995556
163,crowds,TotalRuns_3_CrowdSize_10,48,ok,149.431601,6563,15143,,0.0344346991100606,10.361292,ok,706.467607,57,3139,44584.774539,84.961429,,
164,crowds,TotalRuns_3_CrowdSize_10,63,ok,151.984976,6563,15143,,0.0361336731395189,13.985395,,,,,,,,
165,crowds,TotalRuns_3_CrowdSize_10,64,ok,146.472767,6563,15143,641.975445,0.0361336731395189,15.365099,ok,725.271751,57,3141,112456.183033,115.788898,61.624063,6.794701
166,crowds,TotalRuns_3_CrowdSize_10,96,ok,301.480677,6563,15143,,0.0367566806549344,20.684202,ok,734.471354,57,3139,99671.86066,152.240707,,
167,crowds,TotalRuns_3_CrowdSize_10,127,ok,148.892571,6563,15143,,0.0367887319099562,27.729957,,,,,,,,
168,crowds,TotalRuns_3_CrowdSize_10,128,ok,147.454377,6563,15143,642.296726,0.0367889008392164,28.827971,ok,732.874459,57,3139,204535.664955,217.09828,60.644702,13.673338
169,crowds,TotalRuns_3_CrowdSize_15,8,numeric,,19228,,,,,ok,880.09196,57,6278,9102.440943,,115.548777,
170,crowds,TotalRuns_3_CrowdSize_15,12,,,19228,,,,,ok,894.874922,57,6278,9253.980569,13.071547,,
171,crowds,TotalRuns_3_CrowdSize_15,15,ok,602.586713,19228,55948,,0.0090839257600401,3.377161,,,,,,,,
172,crowds,TotalRuns_3_CrowdSize_15,16,ok,582.372394,19228,55948,1957.282724,0.0090839257600401,3.844357,ok,899.396958,57,6278,43453.582942,15.450916,112.93505,361.358819452253
173,crowds,TotalRuns_3_CrowdSize_15,24,,,19228,,,,,segfault,,,,,,,
174,crowds,TotalRuns_3_CrowdSize_15,31,ok,589.194458,19228,55948,,0.0245008372368084,7.12359,,,,,,,,
175,crowds,TotalRuns_3_CrowdSize_15,32,ok,599.423415,19228,55948,2388.454923,0.0250895826048095,8.850318,ok,890.233945,57,6278,89950.814589,88.214417,113.729297,5.271165
176,crowds,TotalRuns_3_CrowdSize_15,48,ok,587.011467,19228,55948,,0.0303567901080557,11.000843,ok,891.185851,57,6278,86791.188592,113.349393,,
177,crowds,TotalRuns_3_CrowdSize_15,63,ok,572.556541,19228,55948,,0.031560267569293,15.132477,,,,,,,,
178,crowds,TotalRuns_3_CrowdSize_15,64,ok,600.217359,19228,55948,2928.051358,0.031560267569293,19.266837,ok,916.515228,57,6278,397160.072773,157.328548,114.033253,8.450123
179,crowds,TotalRuns_3_CrowdSize_15,96,ok,572.176194,19228,55948,,0.0319745028859059,22.621187,segfault,,,,,,,
180,crowds,TotalRuns_3_CrowdSize_15,127,ok,596.762895,19228,55948,,0.0319942813141727,29.207912,,,,,,,,
181,crowds,TotalRuns_3_CrowdSize_15,128,ok,582.065735,19228,55948,2742.571597,0.031994383401484,35.30577,segfault,,,,,,115.257667,16.159441
182,crowds,TotalRuns_3_CrowdSize_20,8,numeric,,42318,,,,,segfault,,,,,,214.444881,
183,crowds,TotalRuns_3_CrowdSize_20,12,,,42318,,,,,segfault,,,,,,,
184,crowds,TotalRuns_3_CrowdSize_20,15,ok,1578.247052,42318,148578,,0.00888319432,3.550402,,,,,,,,
185,crowds,TotalRuns_3_CrowdSize_20,16,ok,1559.57903,42318,148578,5914.348949,0.00888319432,4.07125,segfault,,,,,,214.521067,501.1164032579668
186,crowds,TotalRuns_3_CrowdSize_20,24,,,42318,,,,,segfault,,,,,,,
187,crowds,TotalRuns_3_CrowdSize_20,31,ok,1532.033244,42318,148578,,0.0233376890918757,8.264233,,,,,,,,
188,crowds,TotalRuns_3_CrowdSize_20,32,ok,1630.431487,42318,148578,7822.434679,0.0238521087384075,12.237569,ok,1476.077586,57,9736,187744.815707,122.462725,216.85432,5.632455
189,crowds,TotalRuns_3_CrowdSize_20,48,ok,1575.401109,42318,148578,,0.02839679119293,12.924903,ok,1496.455045,57,9736,182983.895025,142.256353,,
190,crowds,TotalRuns_3_CrowdSize_20,63,ok,1917.064766,42318,148578,,0.0293752280901382,17.894709,,,,,,,,
191,crowds,TotalRuns_3_CrowdSize_20,64,ok,1555.714469,42318,148578,9167.604969,0.0293752280901382,30.16325,ok,1465.226664,57,9737,864625.957323,210.055798,211.95782,8.209709
192,crowds,TotalRuns_3_CrowdSize_20,96,ok,1545.785543,42318,148578,,0.0296975745185882,28.202005,segfault,,,,,,,
193,crowds,TotalRuns_3_CrowdSize_20,127,ok,1541.634345,42318,148578,,0.0297121617593851,33.864654,,,,,,,,
194,crowds,TotalRuns_3_CrowdSize_20,128,ok,1526.98811,42318,148578,9069.002513,0.0297122355073944,52.529007,segfault,,,,,,216.874458,18.175181
195,crowds,TotalRuns_3_CrowdSize_5,8,numeric,,1198,,,,,segfault,,,,,,532.371375,
196,crowds,TotalRuns_3_CrowdSize_5,12,,,1198,,,,,segfault,,,,,,,
197,crowds,TotalRuns_3_CrowdSize_5,15,ok,22.695538,1198,2038,,0.01068977728,3.084519,,,,,,,,
198,crowds,TotalRuns_3_CrowdSize_5,16,ok,21.229871,1198,2038,86.741685,0.01068977728,3.771991,segfault,,,,,,42.907818,5.929092
199,crowds,TotalRuns_3_CrowdSize_5,24,,,1198,,,,,segfault,,,,,,,
200,crowds,TotalRuns_3_CrowdSize_5,31,ok,22.482499,1198,2038,,0.0345158587844005,6.666243,,,,,,,,
201,crowds,TotalRuns_3_CrowdSize_5,32,ok,21.87451,1198,2038,87.962122,0.0357821696902621,6.940279,segfault,,,,,,40.789881,3.542434
202,crowds,TotalRuns_3_CrowdSize_5,48,ok,21.92273,1198,2038,,0.0479007917319379,10.163659,ok,466.630652,57,1454,31010.814478,62.448242,,
203,crowds,TotalRuns_3_CrowdSize_5,63,ok,21.968896,1198,2038,,0.0514336839500049,13.064201,,,,,,,,
204,crowds,TotalRuns_3_CrowdSize_5,64,ok,21.707787,1198,2038,92.493613,0.0514336839500049,13.680543,segfault,,,,,,42.28974,5.115261
205,crowds,TotalRuns_3_CrowdSize_5,96,ok,21.647925,1198,2038,,0.0528735013227419,19.632068,segfault,,,,,,,
206,crowds,TotalRuns_3_CrowdSize_5,127,ok,42.8741,1198,2038,,0.052956740481852,27.40244,,,,,,,,
207,crowds,TotalRuns_3_CrowdSize_5,128,ok,22.830361,1198,2038,95.497452,0.0529571767987076,28.180437,ok,505.042838,57,1454,124910.514969,151.978182,40.856013,10.12719
