name,params,length,output_type,parse_time,states,trans,precomp_time,newmat,prob,sample_time
crowds,5_5,128,ok,255.778080,8653,14953,2635.124191,6,0.14538921683829678,2136.051566
crowds,TotalRuns_3_CrowdSize_10,8,ok,165.610301,6563,15143,1737.715182,2,0.0,-1
crowds,TotalRuns_3_CrowdSize_10,12,ok,155.266958,6563,15143,-1,-1,0.008281,2.542491
crowds,TotalRuns_3_CrowdSize_10,16,ok,154.704611,6563,15143,566.623185,3,0.00948538864,147.109015
crowds,TotalRuns_3_CrowdSize_10,24,ok,188.676622,6563,15143,-1,-1,0.021368953298789874,5.203569
crowds,TotalRuns_3_CrowdSize_10,32,ok,150.670870,6563,15143,626.975018,4,0.027631210504291827,147.133792
crowds,TotalRuns_3_CrowdSize_10,48,ok,146.609971,6563,15143,-1,-1,0.03443469911006062,10.138489
crowds,TotalRuns_3_CrowdSize_10,64,ok,147.415935,6563,15143,629.159702,5,0.03613367313951898,149.156410
crowds,TotalRuns_3_CrowdSize_10,96,ok,148.825352,6563,15143,-1,-1,0.0367566806549344,20.952238
crowds,TotalRuns_3_CrowdSize_10,128,ok,147.199796,6563,15143,634.070742,6,0.03678890083921648,164.518829
crowds,TotalRuns_3_CrowdSize_15,8,ok,568.908783,19228,55948,5631.184489,2,0.0,-1
crowds,TotalRuns_3_CrowdSize_15,12,ok,562.832549,19228,55948,-1,-1,0.008281,2.566940
crowds,TotalRuns_3_CrowdSize_15,16,ok,559.599942,19228,55948,2026.347501,3,0.009083925760040145,1043.934210
crowds,TotalRuns_3_CrowdSize_15,24,ok,555.457815,19228,55948,-1,-1,0.019862253270477654,5.227607
crowds,TotalRuns_3_CrowdSize_15,32,ok,549.032340,19228,55948,2380.433041,4,0.025089582604809556,1066.746470
crowds,TotalRuns_3_CrowdSize_15,48,ok,551.198776,19228,55948,-1,-1,0.030356790108055722,11.238647
crowds,TotalRuns_3_CrowdSize_15,64,ok,560.376162,19228,55948,2916.238998,5,0.031560267569293,1371.682027
crowds,TotalRuns_3_CrowdSize_15,96,ok,560.452063,19228,55948,-1,-1,0.03197450288590591,22.222091
crowds,TotalRuns_3_CrowdSize_15,128,ok,581.358835,19228,55948,2761.622161,6,0.03199438340148409,1468.192532
crowds,TotalRuns_3_CrowdSize_20,8,ok,1524.225362,42318,148578,16908.023257,2,0.0,-1
crowds,TotalRuns_3_CrowdSize_20,12,ok,1478.051440,42318,148578,-1,-1,0.008281,2.696463
crowds,TotalRuns_3_CrowdSize_20,16,ok,1523.012282,42318,148578,6274.339085,3,0.00888319432,4764.589238
crowds,TotalRuns_3_CrowdSize_20,24,ok,1500.987614,42318,148578,-1,-1,0.019123648092446283,5.422148
crowds,TotalRuns_3_CrowdSize_20,32,ok,1471.468922,42318,148578,7593.852576,4,0.023852108738407544,4761.713476
crowds,TotalRuns_3_CrowdSize_20,48,ok,1539.520524,42318,148578,-1,-1,0.028396791192930086,12.577209
crowds,TotalRuns_3_CrowdSize_20,64,ok,1515.977922,42318,148578,9864.170257,5,0.02937522809013822,4770.947989
crowds,TotalRuns_3_CrowdSize_20,96,ok,1531.125032,42318,148578,-1,-1,0.029697574518588208,28.100972
crowds,TotalRuns_3_CrowdSize_20,128,ok,1511.315136,42318,148578,9083.437309,6,0.029712235507394408,4792.558962
crowds,TotalRuns_3_CrowdSize_5,8,ok,23.571534,1198,2038,242.040251,2,0.0,-1
crowds,TotalRuns_3_CrowdSize_5,12,ok,235.691543,1198,2038,-1,-1,0.008281,2.569222
crowds,TotalRuns_3_CrowdSize_5,16,ok,21.412419,1198,2038,87.744108,3,0.01068977728,8.444659
crowds,TotalRuns_3_CrowdSize_5,24,ok,24.086192,1198,2038,-1,-1,0.026124970816090526,4.826257
crowds,TotalRuns_3_CrowdSize_5,32,ok,24.573698,1198,2038,104.191599,4,0.03578216969026214,11.742261
crowds,TotalRuns_3_CrowdSize_5,48,ok,21.172989,1198,2038,-1,-1,0.047900791731937946,10.051830
crowds,TotalRuns_3_CrowdSize_5,64,ok,21.706450,1198,2038,91.572772,5,0.051433683950004916,18.141598
crowds,TotalRuns_3_CrowdSize_5,96,ok,24.102743,1198,2038,-1,-1,0.05287350132274193,19.967892
crowds,TotalRuns_3_CrowdSize_5,128,ok,36.950070,1198,2038,166.923256,6,0.05295717679870761,32.403403
crowds,TotalRuns_4_CrowdSize_10,8,ok,1288.491783,30070,70110,10133.865555,2,0.0,-1
crowds,TotalRuns_4_CrowdSize_10,12,ok,707.726365,30070,70110,-1,-1,0.008281,2.633358
crowds,TotalRuns_4_CrowdSize_10,16,ok,711.006748,30070,70110,3481.280938,3,0.00948538864,3766.465175
crowds,TotalRuns_4_CrowdSize_10,24,ok,706.335536,30070,70110,-1,-1,0.021368953298789874,5.104794
crowds,TotalRuns_4_CrowdSize_10,32,ok,715.035570,30070,70110,4141.157280,4,0.03296117636919385,3770.084256
crowds,TotalRuns_4_CrowdSize_10,48,ok,722.317021,30070,70110,-1,-1,0.05399863363192585,11.558202
crowds,TotalRuns_4_CrowdSize_10,64,ok,737.219314,30070,70110,5613.008151,5,0.06343391072020568,3786.658410
crowds,TotalRuns_4_CrowdSize_10,96,ok,713.451087,30070,70110,-1,-1,0.06760315316138002,23.190794
crowds,TotalRuns_4_CrowdSize_10,128,ok,711.084413,30070,70110,5567.958402,6,0.06796083890466308,3806.864145
crowds,TotalRuns_4_CrowdSize_15,8,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_15,12,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_15,16,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_15,24,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_15,32,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_15,48,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_15,64,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_15,96,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_15,128,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,8,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,12,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,16,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,24,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,32,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,48,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,64,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,96,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_20,128,overflow,-1,-1,-1,-1,-1,-1,-1
crowds,TotalRuns_4_CrowdSize_5,8,ok,94.633632,3515,6035,841.450646,2,0.0,-1
crowds,TotalRuns_4_CrowdSize_5,12,ok,60.654213,3515,6035,-1,-1,0.008281,2.482485
crowds,TotalRuns_4_CrowdSize_5,16,ok,60.128476,3515,6035,260.128643,3,0.01068977728,90.030760
crowds,TotalRuns_4_CrowdSize_5,24,ok,59.971531,3515,6035,-1,-1,0.026124970816090522,4.824847
