,name,params,length,parse_time,states,trans,precomp_time_mat,prob,sample_time,parsetime,vars_per_state,add_size,precomp_time_add,trace_time,setup_time,sample_time_sim
18,brp,N_16_MAX_5,64,16.458412,1304,1731,656.429366,1.6674280947617704e-10,22.169743,,,,,,23.535513,588025442404.5104
19,brp,N_16_MAX_5,128,16.093874,1304,1731,921.980323,3.5269171887896026e-14,41.234734,,,,,,23.908343,5674774312143328.0
20,brp,N_32_MAX_2,8,18.417626,1349,1731,281.286646,8.000000000000001e-06,8.226938,175.042696,33,1437,903.692527,3.908686,24.434352,1730513.6024999998
21,brp,N_32_MAX_2,16,15.911273,1349,1731,381.862497,9.41192e-07,10.366335,178.817123,33,1437,1779.949525,8.112442,23.365792,27476168.666966997
22,brp,N_32_MAX_2,32,16.829011,1349,1731,486.932053,5.935165549404448e-06,14.37781,171.387338,33,1436,6641.500476,18.743484,23.447134,8264130.762944216
23,brp,N_32_MAX_2,64,16.522277,1349,1731,604.3986629999999,2.3499190658864e-06,23.463986,188.410246,33,1443,26550.983843,40.660877,23.670083,41811702.20981126
24,brp,N_32_MAX_2,128,15.759097,1349,1731,759.379778,6.368939964429695e-06,44.053953,185.608602,33,1444,98799.166369,89.514587,23.676679,31006821.3914595
25,brp,N_32_MAX_3,8,25.152567,1766,2307,381.119005,0.0,,207.003857,33,1437,826.244018,,25.422043,inf
26,brp,N_32_MAX_3,16,21.01292,1766,2307,515.347863,2.30496e-07,13.989897,203.897692,33,1437,3174.790616,9.385215,24.735682,112650132.8439539
27,brp,N_32_MAX_3,32,22.758165,1766,2307,665.5429389999999,3.0279090465620857e-07,18.658834,179.8458,33,1425,11058.135104,19.931188,25.28391,179518057.92091665
28,brp,N_32_MAX_3,64,22.235259,1766,2307,845.6216539999999,2.2942044049565314e-07,27.826915,,,,,,24.89982,418695922.48394275
29,brp,N_32_MAX_3,128,20.719931,1766,2307,1136.550575,2.4718842989872975e-07,47.097736,,,,,,24.737325,801652918.9945647
30,brp,N_32_MAX_4,8,33.136289,2183,2883,479.654374,0.0,,,,,,,26.86056,inf
31,brp,N_32_MAX_4,16,29.355674,2183,2883,657.2431320000001,7.84e-09,19.015273,,,,,,26.482913,3254335293.3673472
32,brp,N_32_MAX_4,32,31.88829,2183,2883,852.805433,3.9997067531878195e-09,23.656216,,,,,,26.184277,12851197993.211054
33,brp,N_32_MAX_4,64,27.316739,2183,2883,1111.4411599999999,7.920664248495972e-09,30.989886,,,,,,26.37453,12489690708.551981
34,brp,N_32_MAX_4,128,25.220069,2183,2883,1641.4824049999997,5.366776302680323e-09,50.919357,,,,,,26.519836,41050076739.731544
35,brp,N_32_MAX_5,8,35.167445,2600,3459,571.890733,0.0,,,,,,,31.756261,inf
36,brp,N_32_MAX_5,16,38.089668,2600,3459,782.386039,0.0,,155.020839,34,1522,4461.243274,,27.774599,inf
