name,params,length,parse_time,states,trans,precomp_time,newmat,prob,sample_time
leader,sync3_4,128,3.284232,147,210,11.773786,6,1.0,34.700361
leader,sync4_2,8,2.604074,61,76,15.052510,2,0.5,2.184511
leader,sync4_2,16,1.697674,61,76,5.431583,3,0.875,4.426806
leader,sync4_2,32,1.425659,61,76,5.159404,4,0.984375,8.504730
leader,sync4_2,64,1.449585,61,76,5.134062,5,0.999755859375,17.521570
leader,sync4_2,128,1.397715,61,76,5.089430,6,0.9999999701976776,34.272850
leader,sync4_3,8,7.196261,274,354,61.280876,2,0.7407407406000001,2.364082
leader,sync4_3,16,4.216389,274,354,21.432167,3,0.9825737944030282,4.589810
leader,sync4_3,32,4.091526,274,354,21.591800,4,0.9996963271108538,9.082720
leader,sync4_3,64,4.505528,274,354,22.207193,5,0.9999999075264321,17.688513
leader,sync4_3,128,4.540515,274,354,21.281912,6,0.9999999997434937,35.107800
leader,sync4_4,8,12.404339,812,1067,181.109019,2,0.84375,3.411734
leader,sync4_4,16,10.449700,812,1067,63.327457,3,0.996185302734375,5.653726
leader,sync4_4,32,10.413371,812,1067,68.277168,4,0.9999854480847716,10.055812
leader,sync4_4,64,10.526067,812,1067,64.369416,5,0.9999999997882418,19.061669
leader,sync4_4,128,10.081366,812,1067,64.739021,6,0.9999999999999988,35.701878
leader,sync5_2,8,4.013980,141,172,32.500493,2,0.3125,2.271593
leader,sync5_2,16,2.635808,141,172,11.186174,3,0.52734375,4.475172
leader,sync5_2,32,2.925087,141,172,12.484540,4,0.846409797668457,9.352090
leader,sync5_2,64,2.244771,141,172,10.930120,5,0.9764100497477557,17.083530
leader,sync5_2,128,3.226294,141,172,12.394537,6,0.999617416044879,35.577695
leader,sync5_3,8,15.268582,1050,1292,235.290589,2,0.74074074066,4.241344
leader,sync5_3,16,13.473398,1050,1292,89.775233,3,0.9327846363657355,6.200394
leader,sync5_3,32,12.928765,1050,1292,88.889021,4,0.9988286911261008,11.309774
leader,sync5_3,64,12.153337,1050,1292,91.814447,5,0.9999986278887133,20.536732
leader,sync5_3,128,12.566803,1050,1292,84.602931,6,0.9999999998523497,37.036008
leader,sync5_4,8,52.262374,4244,5267,1010.912156,2,0.87890625,36.724799
leader,sync5_4,16,48.217289,4244,5267,416.199418,3,0.9853363037109375,40.179218
leader,sync5_4,32,45.235592,4244,5267,415.840212,4,0.9999739619388492,44.308212
leader,sync5_4,64,51.361628,4244,5267,430.767870,5,0.9999999993220193,53.770192
leader,sync5_4,128,48.602405,4244,5267,410.639198,6,0.9999999999999949,71.521085
herman,3,8,4.748908,8,28,12.300946,2,0.9999961853027344,2.111876
herman,3,16,1.238816,8,28,1.280111,3,0.9999999999417923,4.306126
herman,3,32,0.989113,8,28,1.417636,4,1.0,8.604454
herman,3,64,1.004854,8,28,1.242200,5,1.0,17.312837
herman,3,128,1.005100,8,28,1.333426,6,1.0,33.979115
herman,5,8,210.581993,32,244,10.297150,2,0.9779586792137707,3.057752
herman,5,16,3.558478,32,244,3.163423,3,0.999257733405102,5.648955
herman,5,32,2.711280,32,244,3.212459,4,0.9999991582084873,10.580910
herman,5,64,2.632152,32,244,3.057958,5,0.9999999999989173,18.599940
herman,5,128,3.462514,32,244,3.308055,6,1.0,36.348588
herman,7,8,22.296164,128,2188,-1,-1,0.8467984500166494,18.796490
herman,7,16,16.914725,128,2188,-1,-1,0.9711507702247664,26.706571
herman,7,32,17.667368,128,2188,-1,-1,0.998974712211629,31.760340
herman,7,64,19.117501,128,2188,-1,-1,0.9999987049933451,40.037815
herman,7,128,18.862443,128,2188,-1,-1,0.9999999999979339,59.484907
